client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240523-190000-001-000-1,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-001,BINANCE-1-001,BINANCE-001,BINANCE-1-001,MARKET,SELL,0.073537,GTC,False,False,0.073537,TAKER,67992.78,0.0,['4.99998506 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b3f99b1c-f382-42cf-8fde-5025bf22d88f,2024-05-23 19:00:00+00:00,2024-05-23 19:00:00+00:00
O-20240523-210000-001-000-2,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-002,BINANCE-1-001,BINANCE-001,BINANCE-1-002,MARKET,BUY,0.073537,GTC,True,False,0.073537,TAKER,67540.0,0.0,['4.96668898 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ec642f53-6b66-4a33-83c7-8b746a4a4de5,2024-05-23 21:00:00+00:00,2024-05-23 21:00:00+00:00
O-20240523-210000-001-000-3,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-003,BINANCE-1-002,BINANCE-001,BINANCE-1-003,MARKET,BUY,0.074030,GTC,False,False,0.074030,TAKER,67540.0,0.0,['4.99998620 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e7fdc4b8-4782-45a5-801c-5fd317d3e477,2024-05-23 21:00:00+00:00,2024-05-23 21:00:00+00:00
O-20240524-070000-001-000-4,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-004,BINANCE-1-002,BINANCE-001,BINANCE-1-004,MARKET,SELL,0.074030,GTC,True,False,0.074030,TAKER,67155.929999999,0.0,['4.97155350 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a7fe04d0-f3e1-494d-a04e-d1ba61b83f43,2024-05-24 07:00:00+00:00,2024-05-24 07:00:00+00:00
O-20240524-070000-001-000-5,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-005,BINANCE-1-003,BINANCE-001,BINANCE-1-005,MARKET,SELL,0.074454,GTC,False,False,0.074454,TAKER,67155.929999999,0.0,['5.00002761 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fe59982a-af23-4595-b7f5-725875350769,2024-05-24 07:00:00+00:00,2024-05-24 07:00:00+00:00
O-20240524-080000-001-000-6,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-006,BINANCE-1-003,BINANCE-001,BINANCE-1-006,MARKET,BUY,0.074454,GTC,True,False,0.074454,TAKER,67353.429999999,0.0,['5.01473228 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,961ede5b-2557-4aa2-bce5-96d160c88a03,2024-05-24 08:00:00+00:00,2024-05-24 08:00:00+00:00
O-20240524-080000-001-000-7,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-007,BINANCE-1-004,BINANCE-001,BINANCE-1-007,MARKET,BUY,0.074235,GTC,False,False,0.074235,TAKER,67353.429999999,0.0,['4.99998188 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8189362f-b109-420c-b246-49d2bb1fe130,2024-05-24 08:00:00+00:00,2024-05-24 08:00:00+00:00
O-20240524-110000-001-000-8,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-008,BINANCE-1-004,BINANCE-001,BINANCE-1-008,MARKET,SELL,0.074235,GTC,True,False,0.074235,TAKER,67343.0,0.0,['4.99920760 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fa1268f7-3bac-4f03-a932-8132b30a9c01,2024-05-24 11:00:00+00:00,2024-05-24 11:00:00+00:00
O-20240524-110000-001-000-9,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-009,BINANCE-1-005,BINANCE-001,BINANCE-1-009,MARKET,SELL,0.074247,GTC,False,False,0.074247,TAKER,67343.0,0.0,['5.00001572 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8f8c6f6f-cb60-4b31-ab91-afc9d309bed6,2024-05-24 11:00:00+00:00,2024-05-24 11:00:00+00:00
O-20240524-150000-001-000-10,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-010,BINANCE-1-005,BINANCE-001,BINANCE-1-010,MARKET,BUY,0.074247,GTC,True,False,0.074247,TAKER,68326.46,0.0,['5.07303468 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f9c3ae8e-620c-4c07-b959-be1907b330c5,2024-05-24 15:00:00+00:00,2024-05-24 15:00:00+00:00
